District,NRSC,GSI,New,Type_of_sl,Length,Width,Area,Building_I,Road_impac,Impact_Agr,LU_2010,LU_2018,Reclass_Sl,RASTERVALU,longitude,latitude,elevation_m,soil_type,precip_2018_mm,Specific_r,Remarks
Kozhikode,N,N,Y,DF,278,16,4448,0,N,N,BRF,BRF,1,8.736148834,76.13502582,11.45964,1923,Loam,3098.893638,,
Thrissur,N,Y,N,SS,0,0,0,0,D,N,BRG,BRG,1,2.530907869,76.63328131,10.31431989,426,Unknown,3443.705515,5,"Road towards the crest of the dam is partially damaged, one park totally damaged"
Idukki,N,N,Y,RF,60,11,660,0,N,N,BRG,BRG,1,9.001792908,77.08419453,10.1160861,2066,Clay Loam,2387.76922,,
Kannur,N,Y,N,DF,217,9,1953,0,N,N,BRS,BRS,1,0,75.57819558,12.15807791,829,Sandy Clay Loam,4589.878085,,One family was evacuated temporarily.
Thrissur,N,Y,N,DF,0,0,0,0,N,N,BRS,BRS,1,3.271586895,76.41956106,10.30133053,40,Sandy Clay Loam,3935.583088,,30 cattles were killed during the event
Idukki,N,N,Y,SS,50,5,250,0,N,N,BSG,BSG,1,7.77892971,77.00989253,10.08121593,1911,Clay Loam,2887.758295,,
Idukki,N,N,Y,SS,13,6,78,0,N,N,BSG,BSG,1,6.956879139,77.00959377,10.08116688,1914,Clay Loam,2887.758295,,
Idukki,N,N,Y,SS,25,12,300,0,N,BSL,GMC,BSL,1,9.952204704,76.96297387,10.12278367,602,Clay Loam,2303.625248,,
Idukki,N,N,Y,SS,29,5,145,0,C,BSL,FMP,BSL,1,6.161751747,76.97814819,10.0824511,1446,Clay Loam,2497.285137,,
Ernakulam,N,Y,N,DF,0,0,0,1,N,N,FMP,BUI,1,1.662237525,76.53725011,10.02042054,52,Sandy Clay Loam,4588.317776,1,"crown cracks were seen at top which may cause reactivation of slide, if untreated, Built up increased"
Ernakulam,N,Y,N,SS,41,31,1271,1,N,N,BUI,BUI,1,7.156507492,76.38650128,10.02849151,44,Clay Loam,4644.560259,,"the slope is consisted of lithomargic clay material, which is highly prone to sliding, Built up increased"
Kozhikode,N,Y,N,DF,0,0,578.905187,1,N,N,BUI,BUI,1,7.688223362,76.0603983,11.45160024,367,Sandy Clay Loam,3254.543798,,"Built up increased at the exact location, Further modification of the slope should not be permitted."
Palakkad,N,Y,N,DF,29,17,493,0,N,N,BUI,BUI,1,5.556910515,76.51380862,10.62590404,80,Sandy Clay Loam,3239.441727,,Built up increased
Pathanamthitta,N,Y,N,DF,0,0,0,0,N,N,BUI,BUI,1,2.350099802,76.98724029,9.305171815,190,Sandy Clay Loam,3170.868446,,"Debris material along the culvert outlet needs to be removed.,  Builtup increased"
Pathanamthitta,N,Y,N,DF,0,0,0,0,N,N,BUI,BUI,1,9.436266899,76.95608901,9.313818011,139,Sandy Clay Loam,3170.868446,,"the transformer situated on the left side of the slide course needs to be re- located immediately to avoid further  accidental situation,  Built up increased"
Pathanamthitta,N,Y,N,DF,0,0,0,0,N,N,BUI,BUI,1,9.503811836,76.96804832,9.269311724,185,Sandy Clay Loam,3194.795305,,"The rubble wall used for cultivation, by blocking the nala, which added material to the debris flow,  Built up increased"
Pathanamthitta,N,Y,N,DF,0,0,0,1,N,N,BUI,BUI,1,6.621183872,76.9733279,9.411837971,197,Sandy Clay Loam,3159.338979,,Built up increased
Thrissur,N,Y,N,SS,0,0,0,0,N,N,BUI,BUI,1,2.67907548,76.33761616,10.50792514,44,Sandy Clay Loam,3699.06597,1,"due to removal of lateral support of the slope during steep cutting for construction of houses the stability of the slope got  reduced, making it more prone to sliding"
Wayanad,N,Y,N,DF,0,0,0,1,N,N,BUI,BUI,1,7.546442509,75.99847031,11.55738795,989,Loam,3298.08721,,
Wayanad,N,Y,N,DF,0,0,0,0,N,N,BUI,BUI,1,0.665051758,76.06791635,11.58427633,837,Sandy Clay Loam,3211.78379,,
Wayanad,N,Y,N,DF,0,0,0,4,N,N,BUI,BUI,1,4.784817219,76.04491631,11.5449426,744,Sandy Clay Loam,3476.993615,,Built up increased
Wayanad,N,Y,N,DF,0,0,0,1,N,N,BUI,BUI,1,8.486976624,76.10641623,11.62322212,923,Sandy Clay Loam,2717.798924,,Built up increased
Wayanad,N,Y,N,DF,0,0,0,0,N,N,BUI,BUI,1,8.486976624,76.09052845,11.55455642,1041,Sandy Clay Loam,3211.78379,,Road present
Wayanad,N,Y,N,SS,0,0,0,3,N,N,BUI,BUI,1,5.787807941,76.08800014,11.5913886,752,Sandy Clay Loam,3211.78379,,Built up increased
Wayanad,N,Y,N,DF,0,0,0,1,N,N,BUI,BUI,1,8.960091591,76.04830522,11.58555609,764,Sandy Clay Loam,3454.637319,,Built up increased
Wayanad,N,Y,N,DF,0,0,0,0,N,N,BUI,BUI,1,7.539280415,76.04777905,11.58527963,770,Sandy Clay Loam,3454.637319,,Built up increased
Wayanad,N,Y,N,DF,0,0,0,0,N,N,BUI,BUI,1,7.799705029,76.08416531,11.59916527,753,Sandy Clay Loam,3211.78379,,Built up increased and new buildings were built at the location
Wayanad,N,Y,N,SS,0,0,0,0,N,N,BUI,BUI,1,8.960091591,76.01893312,11.84232005,821,Clay Loam,2889.35148,,Built up increased
Wayanad,N,Y,N,SS,0,0,0,0,N,N,BUI,BUI,1,7.460019112,76.03747407,11.85266071,796,Clay Loam,2852.062845,,Built up increased
Wayanad,N,Y,N,SS,0,0,0,0,N,N,BUI,BUI,1,3.66801405,75.94435466,11.85686118,768,Clay Loam,2989.87509,5,Built up increased
Idukki,N,Y,N,SS,0,0,0,1,N,N,BUI,BUI,1,8.43620491,77.05948219,10.08704843,1462,Clay Loam,2428.72222,1,
Idukki,N,Y,N,SS,0,0,0,1,N,N,BUI,BUI,1,6.530305386,77.10545106,10.0616806,1591,Sandy Clay Loam,2256.497484,1,"Pavithram home stay, located at the right flank partially damaged, Kitchen and backside damaged."
Idukki,N,Y,N,SS,0,0,0,1,N,N,BUI,BUI,1,8.404308319,77.10591927,10.06725002,1599,Clay Loam,2256.497484,1,
Idukki,N,Y,N,SS,27,25,675,2,N,SPL,FMP,BUI,1,6.108500004,77.06433815,9.9240995,761,Clay Loam,2529.555594,1,
Idukki,N,Y,N,SS,30,13,390,6,D,N,BUI,BUI,1,5.437689781,76.9631121,9.858309923,560,Clay Loam,2570.936814,05-Jun,Buildings in the both side of the river are partially damaged due to toe erosion by Cheruthoni river by heavy rainfall and also when the Idukki dam was opened.
Idukki,N,Y,N,SS,10,8,79.15,1,N,SPL,BUI,BUI,1,9.119817734,76.94269833,10.03228175,853,Clay Loam,2843.419584,1,"The slided material hit the back of the house, cracks were found developed in the house."
Idukki,N,Y,N,SS,0,0,0,1,N,N,BUI,BUI,1,6.188200474,76.8683785,9.986821215,679,Clay Loam,3320.778411,1,Unplanned cutting of slope for construction of house.
Idukki,N,Y,N,SS,0,0,0,1,N,N,SPL,BUI,1,9.282362938,77.09943128,9.810931974,771,Clay Loam,2601.058043,1,The house fully destroyed.
Idukki,N,Y,N,SS,35,24,818.09,1,N,FMP,FMP,BUI,1,2.229625463,77.09854837,9.811181684,777,Clay Loam,2601.058043,1,
Idukki,N,Y,N,DF,0,0,0,1,N,N,BUI,BUI,1,7.610586166,77.09989948,9.810811578,782,Clay Loam,2601.058043,1,Cracks develped in the house. One cattle shed fully destroyed.
Idukki,N,Y,N,SS,17,8,136,1,C,N,FMP,BUI,1,8.680746078,76.95430983,9.872124218,601,Clay Loam,2570.936814,1,Road blocked and electric pole damaged. Construction of retaining structure with suitable pillar in between the wall and overburden and proper weepholes to be provided.
Idukki,N,Y,N,DF,0,0,0,1,C,N,BUI,BUI,1,7.990872383,76.93941198,9.887508117,686,Clay Loam,2879.933392,1,Road blocked and electric pole damaged.
Idukki,N,Y,N,SS,21,5,105,1,N,N,BUI,BUI,1,9.37389183,76.93886797,9.888355346,691,Clay Loam,2879.933392,1,"Arrested slide observed at Mr. George Mathew Thekamparam house, where tensional crack present at court yard, extending upto 15m on both sides is noticed."
Idukki,N,Y,N,DF,0,0,0,2,N,N,FDN,BUI,1,4.621707439,76.9383195,9.871990445,739,Clay Loam,2879.933392,1,Houses on the stream bed to be relocated
Idukki,N,Y,N,DF,46,16,736,1,C,N,BUI,BUI,1,9.790725708,76.96414215,9.85876921,568,Clay Loam,2570.936814,1,
Thrissur,N,Y,N,SS,18,11,198,0,N,N,CSV,CSV,1,2.396587133,76.32088115,10.48045262,60,Sandy Clay Loam,3964.883007,5,Toe erosion by canal flowing at downslope
Malappuram,N,Y,N,SS,0,0,7773.21,0,N,FCP,FCP,FCP,1,9.184041977,76.32711497,11.19733784,116,Clay Loam,2943.70645,,
Malappuram,N,Y,N,RF,0,0,15812.2,0,N,FCP,FCP,FCP,1,7.957089424,76.20917621,11.37707974,342,Loam,2824.1821,,
Malappuram,N,Y,N,SS,0,0,590.707,0,N,FCP,FCP,FCP,1,3.134054184,76.20830223,11.27209913,30,Clay Loam,3097.749031,,
Idukki,N,N,Y,SS,56,6,336,1,C,FCP,FCP,FCP,1,3.321681738,76.92682393,9.947897722,610,Clay Loam,2850.419176,1,
Idukki,N,N,Y,SS,36,20,720,0,N,FCP,SPL,FCP,1,9.559707642,77.02061221,9.878433846,585,Clay Loam,2955.744443,10,
Idukki,N,N,Y,SS,31,10,310,0,N,FCP,SPL,FCP,1,5.644632816,77.0201663,9.878487355,587,Clay Loam,2955.744443,10,
Idukki,N,Y,N,SS,20,12,240,0,C,FCP,FCP,FCP,1,9.823250771,76.94540055,9.85346288,821,Clay Loam,2879.933392,2,Painavu -Thodupuzha road blocked
Malappuram,N,Y,N,DF,15,25,375,0,N,N,FDN,FDN,1,9.503811836,76.33966288,11.28919532,51,Clay Loam,2909.993791,5,
Thrissur,N,Y,N,DF,0,0,0,0,N,N,FDN,FDN,1,9.322525024,76.82603933,10.29795945,916,Clay Loam,2959.743836,2,slide induced by steep cutting of slope for road construction
Idukki,N,N,Y,DF,715,67,47905,0,N,N,FDN,FDN,1,0,77.36711557,9.450328931,1241,Clay Loam,2250.547645,,
Idukki,N,N,Y,SS,31,18,558,0,N,N,FDN,FDN,1,9.925488472,77.09599777,10.16163135,1626,Clay Loam,2195.319405,,
Idukki,N,N,Y,SS,23,8,184,0,N,N,FDN,FDN,1,8.972027779,76.92406375,9.840705392,827,Clay Loam,2983.48475,,
Kannur,N,Y,N,SS,0,0,2858.38,23,N,FMP,FMP,FMP,1,9.898694038,75.85948013,11.9120916,380,Clay Loam,3345.426712,,Earlier the cracks appeared in 2004 and 2 houses were affected.
Kozhikode,N,Y,N,DF,0,0,16997.96984,0,N,FMP,FMP,FMP,1,3.756876469,75.86512981,11.52623221,160,Clay Loam,3576.518564,,Natural slope had been modifiedfor planning crops .
Malappuram,N,Y,N,SS,0,0,1874.84,0,N,FMP,FMP,FMP,1,8.711571693,76.12268303,11.33040187,576,Sandy Clay Loam,3284.561656,,
Malappuram,N,Y,N,SS,0,0,1874.84,0,N,FMP,FMP,FMP,1,9.925488472,76.12625477,11.32667852,650,Sandy Clay Loam,3284.561656,,
Malappuram,N,Y,N,DF,0,0,17380.5,0,N,FMP,FMP,FMP,1,0.743542135,76.31046469,11.28848186,32,Clay Loam,2909.993791,5,
Malappuram,N,Y,N,SS,0,0,42778.5,0,N,FMP,FMP,FMP,1,1.329924345,76.15301829,11.23507967,23,Loam,3196.417039,,
Palakkad,N,Y,N,DF,0,0,0,0,N,FMP,FMP,FMP,1,1.880459428,76.56878041,10.7313707,74,Loam,3020.549593,,"Buit up increased,  plantation removed"
Palakkad,N,Y,N,DF,0,0,0,0,N,FMP,FMP,FMP,1,7.034357071,76.7348418,10.82509654,135,Clay Loam,1979.040469,,
Palakkad,N,Y,N,DF,0,0,0,0,N,FMP,FMP,FMP,1,7.034357071,76.31988231,10.84864505,102,Sandy Clay Loam,3338.140178,,Built up increase
Palakkad,N,Y,N,DF,0,0,0,0,N,FMP,FMP,FMP,1,9.559707642,76.31826812,10.85140524,90,Sandy Clay Loam,3392.165054,,
Palakkad,N,Y,N,DF,0,0,0,0,N,FMP,FMP,FMP,1,6.327335835,76.43119931,11.04014561,102,Clay Loam,2791.291472,,
Palakkad,N,Y,N,DF,35,28,980,0,N,FMP,FMP,FMP,1,5.35669899,76.5177683,10.63393042,88,Sandy Clay Loam,3239.441727,,Quarry present
Thrissur,N,Y,N,DF,0,0,0,1,N,FMP,FMP,FMP,1,5.397349834,76.36094171,10.53402872,65,Sandy Clay Loam,3547.40698,5,"A stream is flowing at downslope, which has caused toe cutting activity, reducing the stability of the slope: cracks developed on ground as well as walls of the house, an"
Idukki,N,N,Y,SS,15,12,180,0,N,FMP,FMP,FMP,1,7.990872383,76.90179946,9.713835049,879,Sandy Clay Loam,3039.482206,,
Idukki,N,N,Y,DF,87,8,696,0,D,FMP,FMP,FMP,1,7.997611046,77.07771991,10.12543237,1744,Clay Loam,2387.76922,,
Idukki,N,N,Y,SS,11,6,66,0,C,FMP,FMP,FMP,1,6.081693649,77.06010646,10.13724453,1631,Clay Loam,2387.76922,3,
Idukki,N,N,Y,SS,25,8,200,0,C,FMP,FMP,FMP,1,8.581315041,76.97654291,10.08762365,1422,Clay Loam,2497.285137,,
Idukki,N,Y,N,SS,0,0,0,0,N,FMP,FMP,FMP,1,5.973229885,76.92632897,10.06089134,919,Clay Loam,2818.656514,,The slide occur in the cultivated land.
Idukki,N,N,Y,SS,65,32,2080,0,D,FMP,FMP,FMP,1,8.972027779,77.1002027,9.874420655,730,Clay Loam,2649.922816,,
Idukki,N,N,Y,SS,34,8,272,0,N,FMP,FMP,FMP,1,8.906170845,77.08371295,9.934252873,804,Clay Loam,2529.555594,,
Idukki,N,N,Y,SS,25,21,525,0,N,FMP,FMP,FMP,1,7.984127998,77.07397873,9.938034191,759,Clay Loam,2529.555594,,
Idukki,N,Y,N,SS,16,11,176,0,N,FMP,FMP,FMP,1,0.665051758,77.00859939,9.959130198,640,Clay Loam,2981.859145,,Small scale incidence
Idukki,N,Y,N,SS,21,23,483,0,C,FMP,FMP,FMP,1,0.470273167,77.08769492,9.909241775,682,Clay Loam,2529.555594,2,Cut slope failure
Idukki,N,Y,N,SS,0,0,0,0,N,FMP,FMP,FMP,1,9.730792046,77.0098301,10.01815086,780,Clay Loam,2835.757566,,
Idukki,N,Y,N,DF,0,0,0,1,D,FMP,FMP,FMP,1,9.866437912,77.0821701,10.01391917,975,Clay Loam,2525.735038,1,Kochupu- Josegiri road damaged.
Idukki,N,Y,N,SS,0,0,0,1,N,FMP,FMP,FMP,1,4.365424633,76.94252889,10.03225054,853,Clay Loam,2843.419584,1,"Two deaths: Mohanan and Shobha, Kurumbanackal, Korangatti"
Idukki,N,Y,N,SS,0,0,0,1,N,FMP,BSL,FMP,1,9.620789528,76.86470866,9.839809113,305,Clay Loam,3476.320147,1,
Idukki,N,Y,N,DF,26,6,153.5,0,C,FMP,FMP,FMP,1,9.64289856,76.87310068,9.858590846,261,Clay Loam,3356.552559,,Moolakallu - Alkallu road blocked. Flow occurred in the natural course of Ist order stream.
Idukki,N,Y,N,DF,0,0,0,0,N,FMP,FMP,FMP,1,7.834201336,76.9088493,9.955429144,814,Clay Loam,2786.603942,1,Flow occurred in cultivated land
Idukki,N,N,Y,SS,27,6,162,0,N,FMP,FMP,FMP,1,6.751110554,76.92694879,9.947969068,609,Clay Loam,2850.419176,,
Idukki,N,Y,N,SS,0,0,0,0,N,FMP,FMP,FMP,1,9.16074276,77.00875992,9.880440441,604,Clay Loam,2955.744443,1,"Land belongs to Mary Sebastian, Pulkunnel House"
Idukki,N,Y,N,DF,0,0,0,0,N,FMP,BSL,FMP,1,9.436266899,77.0299897,9.850230032,925,Clay Loam,2955.744443,,Highly fractured rock blocks are seen perched on the crown portion of this slide. The pipe culvert provided at the unpaved road is found smaller in dimension.
Idukki,N,Y,N,SS,0,0,0,0,N,FMP,FMP,FMP,1,4.657149315,77.00447026,9.826957983,973,Clay Loam,2938.471587,02-Mar,Proper catch drain arrangements should be provided at the hill side of the road and the surface water shoul be diverted and drained to the stream downslope.
Idukki,N,Y,N,SS,41,5,205,2,N,FMP,FMP,FMP,1,6.694589138,76.99857087,9.925579921,543,Clay Loam,2507.233482,1,
Idukki,N,N,Y,SS,15,7,105,0,C,FMP,FMP,FMP,1,5.180291653,76.95936645,9.914561483,486,Clay Loam,2507.233482,,
Idukki,N,Y,N,DF,177,10,1770,1,C,FMP,FMP,FMP,1,7.799705029,76.95021638,9.87742163,676,Clay Loam,2879.933392,1,
Idukki,N,Y,N,SS,21,8,168,1,C,FMP,SPL,FMP,1,8.314308167,76.94029488,9.886808038,680,Clay Loam,2879.933392,02-Apr,
Idukki,N,Y,N,SS,23,13,299,0,C,FMP,FMP,FMP,1,7.546442509,76.94432145,9.848812038,838,Clay Loam,2983.48475,2,Painavu -Thodupuzha road blocked
Idukki,N,Y,N,SS,0,0,0,0,N,FMP,FMP,FMP,1,3.338211298,76.88111815,9.846760851,605,Clay Loam,3476.320147,1,The slide occured in the cultivated land.
Idukki,N,Y,N,DF,0,0,0,0,N,FMP,FMP,FMP,1,9.725323677,77.00484037,9.847688344,787,Clay Loam,2938.471587,,"On opposite flank at location 9.848209 N, 77.004629 E, one more debris flow incidence noticed."
Idukki,N,N,Y,SS,15,11,165,1,C,FMP,FMP,FMP,1,3.997821093,76.90422075,9.714486078,847,Sandy Clay Loam,3039.482206,1,
